type;latitude;longitude;name;altitude;image
Point Haut;45.3825;4.57278;Crêt de la Perdrix;1462;/leaf/img/280px-Jasserie1308-2.jpg
Point Haut;45.3925;4.61139;Crêt de l'Oeillon;1362;/leaf/img/280px-Pilat_cret_oeillon.jpg
